artist,country,genre,image_uri,uri,debut_album_year,track_name,song_uri,song_image_uri,group_size,gender
Lil Wayne,us,Hip Hop,https://i.scdn.co/image/ab6761610000e5ebc63aded6f4bf4d06d1377106,spotify:artist:55Aa2cqylxrFIXC767Z865,1999,Love Me,https://p.scdn.co/mp3-preview/00f40b3604730defb62aad793b11e123d1905440?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b27380c64a084164867806ea617a,1,m
Travis Scott,us,Hip Hop,https://i.scdn.co/image/ab6761610000e5ebe707b87e3f65997f6c09bfff,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,2015,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],https://p.scdn.co/mp3-preview/15de099a1f15b01d791d8e8dd6f35110ea910cf7?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2,1,m
Kendrick Lamar,us,Hip Hop,https://i.scdn.co/image/ab6761610000e5eb437b9e2a82505b3d93ff1022,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,2010,All The Stars (with SZA),https://p.scdn.co/mp3-preview/b5575dbeaf655f8b6303aafee3f1c9527b685958?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273c027ad28821777b00dcaa888,1,m
Juice WRLD,us,Hip Hop,https://i.scdn.co/image/ab6761610000e5eb1908e1a8b79abf71d5598944,spotify:artist:4MCBfE4596Uoi2O4DtmEMz,2018,Lucid Dreams,https://p.scdn.co/mp3-preview/c9a36171aac7a51ca638fcde5c56d13160f8a812?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273f7db43292a6a99b21b51d5b4,1,m
Future,us,Hip Hop,https://i.scdn.co/image/ab6761610000e5eb03b8733493d0b6f07cf9b2ca,spotify:artist:4QnuZOyl4C9d1keyOZXJ21,2020,Heads Up,https://p.scdn.co/mp3-preview/e0c18219502dab532e3c21c4fb8b2af3a2fc929c?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b2736d6b13d1fc6d3af5ae92f61e,1,m
Maroon 5,us,Pop,https://i.scdn.co/image/ab6761610000e5eb288ac05481cedc5bddb5b11b,spotify:artist:04gDigrS5kc9YWfZHwBETP,2002,Memories,https://p.scdn.co/mp3-preview/b8121499cfa167201cde55b63d83aaee17d1076e?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b27386a8ab515de4b7aef28cd631,7,m
Queen,uk,Rock,https://i.scdn.co/image/b040846ceba13c3e9c125d68389491094e7f2982,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,1973,Don't Stop Me Now - Remastered 2011,https://p.scdn.co/mp3-preview/4ee1d9a98ea72ef0ebb56db045fc17f2bc7bb9d9?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273008b06ec71019afd70153889,4,m
Chris Brown,us,Pop,https://i.scdn.co/image/ab6761610000e5ebe50aa80e0f5869f84f6874d1,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,2005,Under The Influence,https://p.scdn.co/mp3-preview/119b5ce31d6768a9de2d25627cac2cd82e799066?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b2739a494f7d8909a6cc4ceb74ac,1,m
XXXTENTACION,us,Hip Hop,https://i.scdn.co/image/ab6761610000e5ebf0c20db5ef6c6fbe5135d2e4,spotify:artist:15UsOTVnJzReFVN1VCnxy4,2017,Revenge,https://p.scdn.co/mp3-preview/f5096665f4f47142d704ee0ce47a8df26d256ad8?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5,1,m
Khalid,us,Pop,https://i.scdn.co/image/ab6761610000e5eb31072db9da0311ecfabe96bf,spotify:artist:6LuN9FCkKOj5PcnpouEgny,2017,lovely (with Khalid),https://p.scdn.co/mp3-preview/3ebe867688f8f3c20f550fa2308e06b42791824f?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b2738a3f0a3ca7929dea23cd274c,1,m
Daddy Yankee,pr,Latin,https://i.scdn.co/image/ab6761610000e5ebb00a14e06b6bce10b078d754,spotify:artist:4VMYDCV2IEDYJArk749S6m,2002,ULALA (OOH LA LA),https://p.scdn.co/mp3-preview/a51d12e851248adca9ca804ea2890168592ff839?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b27376e6fecaa59c130b3c108586,1,m
Billie Eilish,us,Pop,https://i.scdn.co/image/ab6761610000e5ebd8b9980db67272cb4d2c3daf,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,2019,lovely (with Khalid),https://p.scdn.co/mp3-preview/3ebe867688f8f3c20f550fa2308e06b42791824f?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b2738a3f0a3ca7929dea23cd274c,1,f
Dua Lipa,uk,Pop,https://i.scdn.co/image/ab6761610000e5ebd42a27db3286b58553da8858,spotify:artist:6M2wZ9GZgrQXHCFfjv46we,2017,One Kiss (with Dua Lipa),https://p.scdn.co/mp3-preview/128a50f77ec0225f05a2bd1664cab327bc66bc5f?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273d09f96d82310d4d77c14c108,1,f
David Guetta,fr,Electronic,https://i.scdn.co/image/ab6761610000e5eb75348e1aade2645ad9c58829,spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai,2002,I'm Good (Blue),https://p.scdn.co/mp3-preview/08e77cc86cde4969b8411674a0f4eb4688a9f6a9?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273933c036cd61cd40d3f17a9c4,1,m
Lil Uzi Vert,us,Hip Hop,https://i.scdn.co/image/ab6761610000e5eb30122c0d3ead72f96bb5ee93,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,2015,Just Wanna Rock,https://p.scdn.co/mp3-preview/9c2e8b5d561787282ec590f0a3464b56be35c843?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b2730e34fd68e8ff04e4515eb72a,1,m
Coldplay,uk,Rock,https://i.scdn.co/image/ab6761610000e5eb989ed05e1f0570cc4726c2d3,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,2000,Yellow,https://p.scdn.co/mp3-preview/54db26ef5a3cf11fdc73ca66cfda7988b08eb52f?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b2733d92b2ad5af9fbc8637425f0,4,m
Bruno Mars,us,Pop,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd,spotify:artist:0du5cEVh5yTK9QJze8zA0C,2010,When I Was Your Man,https://p.scdn.co/mp3-preview/512a0d69ca896f94f78859bb2e25b42d3836110e?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46,1,m
Imagine Dragons,us,Rock,https://i.scdn.co/image/ab6761610000e5eb920dc1f617550de8388f368e,spotify:artist:53XhwfbYqKCa1cC15pYq2q,2012,Bones,https://p.scdn.co/mp3-preview/ad626bc98628f2bdf4dad76a7eaacb6dfda948c8?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273fc915b69600dce2991a61f13,4,m
Sam Smith,uk,Pop,https://i.scdn.co/image/ab6761610000e5eb10ca40ea0b0b5082dba0ff75,spotify:artist:2wY79sveU1sp5g7SokKOiI,2014,Unholy (feat. Kim Petras),https://p.scdn.co/mp3-preview/32438952b8c16f0cd11c6ec82531cfcb568d5103?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273a935e4689f15953311772cc4,1,m
Shawn Mendes,ca,Pop,https://i.scdn.co/image/ab6761610000e5eb46e7a06fa6dfefaed6a3f0db,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr,2015,There's Nothing Holdin' Me Back,https://p.scdn.co/mp3-preview/a7626919df05ef65b5fe020a02489933ec3b1d8d?cid=98f79e400795491cbc5f69b713465708,https://i.scdn.co/image/ab67616d0000b273ea3ef7697cfd5705b8f47521,1,m
